Timestamp,Name,ID,URL,Time Spent
2023-12-30 18:29:49,Diego,49,www.myschool.com,18m
2023-12-30 18:03:00,Riley,103,www.myschool.com,99m
2023-12-30 16:53:13,Stephanie,141,www.myschool.com,42m
2023-12-30 15:12:16,Aaliyah,21,www.myschool.com,102m
2023-12-30 13:54:26,Melissa,137,www.myschool.com,86m
2023-12-30 10:06:00,Shane,266,www.myschool.com,103m
2023-12-30 08:16:52,Logan,256,www.myschool.com,98m
2023-12-30 06:28:16,Nolan,379,www.myschool.com,38m
2023-12-30 00:10:01,Isabella,125,www.myschool.com,9m
2023-12-29 23:35:37,Riley,347,www.myschool.com,112m
2023-12-29 21:08:50,Gracie,258,www.myschool.com,107m
2023-12-29 20:35:14,Catherine,389,www.myschool.com,95m
2023-12-29 20:14:12,Brody,81,www.myschool.com,102m
2023-12-29 16:24:34,Lauren,76,www.myschool.com,24m
2023-12-29 15:48:17,Cassidy,39,www.myschool.com,91m
2023-12-29 14:39:21,Dylan,237,www.myschool.com,62m
2023-12-29 11:29:05,Delaney,360,www.myschool.com,113m
2023-12-29 10:54:44,Jalen,254,www.myschool.com,94m
2023-12-29 09:51:47,Catherine,389,www.myschool.com,58m
2023-12-29 09:04:42,Jazmin,294,www.myschool.com,58m
2023-12-29 07:54:36,Lindsey,94,www.myschool.com,31m
2023-12-29 07:29:15,Breanna,48,www.myschool.com,95m
2023-12-29 07:27:49,Alexis,53,www.myschool.com,52m
2023-12-29 07:05:05,Isabelle,322,www.myschool.com,62m
2023-12-29 05:31:06,Erin,194,www.myschool.com,74m
2023-12-29 05:16:45,Max,271,www.myschool.com,41m
2023-12-29 03:58:32,Angelina,114,www.myschool.com,102m
2023-12-29 03:22:53,Eric,265,www.myschool.com,61m
2023-12-29 01:56:51,Maria,352,www.myschool.com,92m
2023-12-29 01:02:05,Emma,41,www.myschool.com,87m
2023-12-29 00:06:46,Ellie,15,www.myschool.com,120m
2023-12-28 22:04:28,Mason,134,www.myschool.com,70m
2023-12-28 21:57:53,Gabriel,56,www.myschool.com,95m
2023-12-28 20:20:11,Alexia,383,www.myschool.com,58m
2023-12-28 19:20:21,Mya,168,www.myschool.com,15m
2023-12-28 17:40:25,Cassandra,182,www.myschool.com,25m
2023-12-28 12:56:52,Cristian,59,www.myschool.com,69m
2023-12-28 10:39:50,Grace,132,www.myschool.com,90m
2023-12-28 10:28:43,Aaron,169,www.myschool.com,120m
2023-12-28 09:46:08,Sara,276,www.myschool.com,104m
2023-12-28 09:24:10,Dakota,82,www.myschool.com,90m
2023-12-28 09:14:47,Maria,352,www.myschool.com,48m
2023-12-28 07:17:59,Chloe,26,www.myschool.com,26m
2023-12-28 06:28:46,Patrick,324,www.myschool.com,43m
2023-12-28 05:55:36,Ricardo,247,www.myschool.com,45m
2023-12-28 05:47:51,Mary,73,www.myschool.com,32m
2023-12-28 04:13:15,Ashlyn,381,www.myschool.com,97m
2023-12-28 02:17:43,Kaden,397,www.myschool.com,6m
2023-12-28 00:07:57,Mario,375,www.myschool.com,42m
2023-12-27 23:13:44,Isabelle,322,www.myschool.com,70m
2023-12-27 22:32:16,Jayden,299,www.myschool.com,94m
2023-12-27 22:21:22,Sara,276,www.myschool.com,33m
2023-12-27 21:56:32,Colin,311,www.myschool.com,43m
2023-12-27 21:37:28,Wyatt,139,www.myschool.com,53m
2023-12-27 20:14:32,Jillian,268,www.myschool.com,70m
2023-12-27 19:58:04,Micah,120,www.myschool.com,100m
2023-12-27 19:35:44,Kenneth,209,www.myschool.com,42m
2023-12-27 19:13:01,Ayden,287,www.myschool.com,2m
2023-12-27 18:54:38,Angelina,114,www.myschool.com,98m
2023-12-27 17:28:45,Jennifer,18,www.myschool.com,92m
2023-12-27 15:58:57,Edgar,98,www.myschool.com,119m
2023-12-27 13:25:07,Cole,317,www.myschool.com,35m
2023-12-27 12:57:57,Mario,375,www.myschool.com,73m
2023-12-27 09:31:26,Giovanni,124,www.myschool.com,119m
2023-12-27 07:41:39,Natalia,206,www.myschool.com,11m
2023-12-27 02:20:51,Bryce,232,www.myschool.com,0m
2023-12-27 01:20:53,Lydia,118,www.myschool.com,42m
2023-12-26 23:44:22,Benjamin,298,www.myschool.com,62m
2023-12-26 23:13:37,Jackson,223,www.myschool.com,60m
2023-12-26 19:27:06,Austin,213,www.myschool.com,87m
