Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Abby,260,83,94,84,90,82,96,100,92,83,100
Alyssa,282,69,70,54,72,75,66,58,62,55,52
Ayden,287,90,79,79,80,88,82,77,80,79,84
Benjamin,298,81,81,85,79,84,83,75,87,84,90
Bianca,285,81,75,79,72,70,82,73,62,81,78
Brandon,297,83,88,94,93,82,85,89,82,87,88
Caleb,275,85,85,79,76,88,77,90,76,83,88
Carlos,293,94,95,81,80,82,82,91,93,80,100
Chelsea,252,78,75,76,84,86,84,90,87,78,90
Cheyenne,280,82,83,75,86,85,85,90,85,79,79
Colby,264,79,82,86,76,75,85,79,79,84,85
Devon,267,63,70,64,74,85,62,66,67,68,81
Diana,300,99,81,80,96,90,86,83,94,93,90
Edwin,290,68,81,70,85,82,64,69,79,65,71
Eric,265,90,84,88,88,88,86,99,97,88,85
Francisco,284,80,90,98,88,83,96,88,96,90,93
Gianna,274,74,71,73,61,85,85,62,60,84,72
Gracie,258,68,80,61,62,73,85,75,73,65,81
Grant,263,78,70,65,74,84,67,68,60,80,84
Jalen,254,83,90,82,90,81,85,81,90,87,77
Jayden,299,88,79,89,79,76,81,83,85,78,87
Jazmin,294,87,79,75,81,85,82,82,85,79,78
Jeremiah,257,62,74,73,81,68,78,77,71,84,84
Jillian,268,92,97,80,91,99,82,98,94,95,96
Johnathan,295,82,62,67,81,68,67,73,73,74,63
Jordan,281,66,78,84,67,68,61,72,84,73,80
Jordyn,289,88,87,85,82,81,89,78,80,82,89
Joseph,255,87,88,90,75,78,87,78,78,81,79
Katherine,272,68,65,74,69,61,76,82,76,78,67
Leonardo,270,79,90,78,75,90,88,87,85,86,75
Liliana,283,85,80,83,69,61,63,72,74,74,66
Logan,256,75,75,78,78,76,89,82,83,85,90
Marcus,292,75,62,61,72,65,72,60,79,68,84
Matthew,273,83,93,92,97,88,83,92,96,81,90
Max,271,74,68,85,75,65,85,80,61,74,76
Molly,269,80,91,90,94,94,81,80,95,90,99
Morgan,277,78,80,81,87,84,77,90,87,78,80
Natalie,288,88,93,81,90,95,86,83,94,91,94
Nathan,279,68,73,85,84,85,71,65,70,83,74
Nicole,251,76,85,76,68,64,63,60,82,65,81
Richard,259,83,81,82,89,75,76,89,85,89,80
Sara,276,100,96,100,82,92,82,91,100,93,98
Shane,266,60,61,75,61,63,70,61,79,71,72
Shawn,291,56,55,71,72,55,62,59,55,50,58
Spencer,286,71,66,69,74,85,80,84,63,82,78
Travis,278,86,92,87,96,88,93,94,83,97,92
Trevor,261,67,63,83,62,81,74,81,62,78,74
Vincent,253,88,86,81,86,92,80,80,90,100,97
Wesley,296,80,85,86,83,79,79,83,80,77,75
Xavier,262,97,85,80,84,89,91,85,88,81,87
