Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Adrianna,233,75,78,74,78,79,63,82,72,64,66
Alexander,214,60,66,66,65,60,75,67,67,60,56
Alexandra,202,83,82,90,100,93,84,96,87,92,83
Alexandria,230,76,86,82,90,87,86,78,87,76,79
Alexis,244,88,82,86,89,78,87,90,88,83,76
Angel,211,90,81,85,77,88,81,76,85,82,85
Anthony,248,66,70,76,60,82,73,83,80,61,62
Ashton,249,83,86,87,79,85,79,86,81,80,83
Austin,213,83,86,90,78,82,81,77,88,75,90
Brooklyn,215,80,62,70,72,73,75,76,67,62,77
Bryan,203,85,79,83,89,90,81,87,80,83,79
Bryce,232,90,83,84,80,81,88,76,90,90,75
Caden,225,80,91,92,96,83,87,86,90,81,88
Conner,229,65,63,72,76,65,60,78,74,72,78
Connor,224,84,78,61,81,70,61,73,68,60,84
Crystal,207,98,80,97,81,83,94,82,84,95,98
Daniela,212,82,70,68,73,67,78,68,81,70,83
Donovan,242,79,82,83,67,77,61,77,82,78,61
Dylan,237,81,84,80,86,86,90,87,81,87,86
Erica,231,82,84,87,87,89,89,80,79,87,86
Fernando,238,68,73,68,61,70,81,67,65,84,79
Haley,216,84,82,79,83,88,76,89,85,86,90
Isabel,218,79,85,82,76,84,76,81,88,83,89
Jackson,223,64,75,65,63,71,70,62,64,80,67
Jake,217,79,89,79,87,80,81,89,75,83,80
Javier,222,67,75,65,70,64,83,62,64,66,69
Justin,204,85,85,90,82,78,75,82,83,75,82
Kaleb,236,93,91,88,94,95,87,90,83,87,82
Kayla,240,76,65,84,72,72,63,76,61,64,62
Kendall,219,83,79,88,87,79,78,75,78,80,78
Kenneth,209,66,61,70,77,82,66,74,78,78,61
Kylie,243,67,82,82,72,73,73,72,64,67,60
Laura,228,88,82,88,88,85,87,88,90,87,83
Layla,227,62,63,68,77,67,61,81,63,77,72
Lucas,205,83,78,86,89,83,88,88,85,76,85
Margaret,220,95,99,99,100,86,89,88,97,98,98
Megan,210,61,77,66,85,79,71,75,78,84,60
Mikayla,246,79,72,62,78,69,81,83,77,62,80
Natalia,206,100,80,80,92,97,86,96,99,87,99
Noah,234,83,80,73,83,76,72,81,70,68,73
Olivia,245,74,85,71,65,70,75,74,68,71,80
Raymond,208,84,75,86,85,87,86,83,84,81,81
Ricardo,247,72,74,75,84,84,68,61,77,66,77
Stephen,239,89,82,87,83,75,89,77,77,76,88
Summer,241,100,93,96,82,82,99,95,87,99,100
Sydney,226,77,71,84,66,73,65,75,66,72,82
Tanner,221,75,79,85,71,65,60,76,62,74,69
Tiffany,250,77,73,81,84,71,77,69,85,68,79
Victor,201,80,60,66,77,73,60,66,81,72,85
Zoey,235,69,81,77,82,69,80,74,63,85,71
