Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Abraham,57,58,74,63,71,70,61,75,58,62,50
Alex,72,83,78,63,62,79,70,61,74,84,60
Alexis,53,65,68,73,78,85,68,76,85,71,65
Alicia,83,84,85,68,78,62,81,73,73,72,71
Alondra,96,63,63,66,72,69,74,84,75,70,77
Amanda,86,87,84,87,80,100,96,83,94,81,87
Amy,70,71,61,69,51,74,60,53,64,65,58
Angela,65,64,65,61,77,76,77,61,79,83,68
Ariana,64,77,80,70,72,61,66,84,84,70,80
Audrey,61,67,79,62,61,79,72,75,70,60,63
Briana,74,88,90,75,77,90,87,82,78,79,75
Brody,81,93,82,88,87,88,94,96,96,81,89
Camila,99,78,85,78,79,83,83,87,76,82,77
Charlotte,77,82,78,63,76,67,72,80,60,77,65
Cristian,59,71,73,74,61,66,71,69,57,64,62
Dakota,82,83,79,86,82,84,79,89,86,83,78
Edgar,98,87,83,89,94,83,100,100,90,95,87
Eduardo,52,85,81,88,80,79,77,87,87,78,80
Edward,54,86,89,86,75,78,88,86,75,79,78
Emily,100,79,60,69,61,68,60,82,73,85,69
Gabriel,56,79,63,81,84,82,63,70,70,79,74
Gabriela,88,75,89,90,88,85,88,85,84,82,88
Gabrielle,58,84,75,73,78,80,81,74,60,67,84
Isaiah,69,62,79,75,85,70,62,60,66,77,63
Jayla,63,77,81,86,75,85,87,76,85,81,87
Josiah,80,63,65,67,79,77,63,60,61,81,63
Juan,79,81,79,82,78,80,77,77,86,88,78
Julia,97,69,63,75,78,79,85,72,66,78,76
Karen,90,91,100,89,97,95,86,100,95,96,82
Kelly,78,66,78,84,72,64,75,63,65,78,67
Kennedy,71,65,61,80,71,71,79,80,62,85,85
Kevin,67,78,84,73,60,72,68,81,71,61,82
Kimberly,92,67,75,52,70,56,74,53,75,55,54
Kyle,68,78,62,65,74,77,83,78,77,61,61
Lauren,76,74,67,73,79,72,83,82,64,71,78
Lindsey,94,79,66,84,84,70,80,69,65,77,73
Madeline,66,73,69,76,74,74,70,78,75,69,75
Madison,51,86,90,87,84,80,88,87,78,83,85
Marco,55,82,90,75,85,75,77,88,76,90,86
Mariah,89,81,70,79,82,75,83,63,80,64,81
Martin,62,62,83,61,83,70,84,78,80,71,79
Mary,73,60,81,62,77,77,83,76,66,61,71
Maya,95,67,67,85,63,80,75,84,64,66,69
Nathaniel,93,75,77,60,84,69,78,77,85,66,66
Peyton,75,62,60,85,62,64,77,63,74,73,72
Ruby,60,88,82,81,79,89,83,75,84,87,86
Savannah,91,78,82,90,83,87,77,85,78,82,82
Sophia,84,90,80,83,78,86,75,80,89,89,89
Steven,85,69,78,75,79,75,73,60,68,74,66
Trinity,87,76,77,84,64,65,60,70,60,77,61
