Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Alexia,383,85,89,89,89,89,95,92,89,99,86
Amber,400,75,81,83,85,76,88,76,85,83,82
Ana,395,80,84,87,81,85,77,79,87,88,76
Ashlyn,381,68,68,74,76,70,62,81,60,67,61
Ava,376,70,70,67,75,68,81,70,82,62,81
Bradley,373,62,77,79,60,73,67,76,74,60,78
Brendan,392,65,72,65,55,60,53,57,62,58,66
Brianna,385,75,74,68,60,69,69,85,60,65,76
Caroline,354,91,93,87,83,95,90,90,95,88,93
Catherine,389,78,82,88,76,90,81,90,79,79,82
Collin,372,65,83,64,75,60,66,73,75,61,82
Cooper,374,63,75,67,78,71,78,73,78,78,69
Danielle,396,81,61,61,85,63,78,83,70,78,77
Delaney,360,77,82,83,84,89,77,86,86,88,87
Eva,388,94,86,85,91,84,81,96,94,80,83
Gabriella,359,78,82,70,68,62,70,77,65,73,71
Garrett,357,90,82,96,82,90,83,80,98,95,99
Gavin,380,82,82,90,85,75,75,82,77,89,83
Gregory,382,90,77,85,84,87,82,86,78,78,83
Hector,361,71,74,61,60,60,73,80,66,76,68
Jacqueline,394,78,63,72,82,70,74,75,76,66,72
Jaden,384,62,62,81,80,81,61,61,62,70,61
Jared,399,90,81,98,94,97,86,82,97,100,97
Jasmine,370,69,72,73,84,85,69,67,78,60,70
John,364,68,60,78,65,60,60,79,64,75,83
Jordan,387,55,74,70,53,68,61,75,64,50,60
Jorge,390,89,83,80,98,82,89,91,81,80,91
Joshua,371,89,93,91,86,92,91,84,100,85,81
Kaden,397,79,74,65,66,68,73,83,76,65,74
Kaitlyn,369,82,77,83,73,73,78,84,63,76,69
Kathryn,367,89,89,77,88,83,81,83,85,82,80
Kylee,362,87,75,81,75,81,87,89,78,90,78
Landon,365,84,77,76,85,81,89,82,76,89,84
Lucy,377,81,67,76,84,66,68,71,76,64,72
Makayla,355,91,97,96,97,80,82,81,95,83,91
Makenzie,356,88,81,90,77,75,82,82,88,78,83
Maria,352,82,82,80,84,86,87,82,90,84,76
Mario,375,98,83,90,82,83,99,94,88,98,89
Marissa,393,87,81,82,84,84,81,78,85,83,80
Melanie,391,82,83,97,81,97,82,89,95,84,82
Naomi,378,83,78,75,62,85,74,85,85,60,64
Nolan,379,70,63,83,83,83,78,62,67,80,76
Oscar,351,78,87,81,88,82,89,84,86,88,88
Owen,358,85,69,72,82,82,65,69,78,81,61
Paul,386,61,71,81,72,74,78,77,63,66,73
Peter,398,90,78,81,79,86,89,89,82,88,79
Sadie,353,95,97,95,100,96,85,88,81,90,94
Serenity,366,94,98,81,80,100,81,88,97,99,92
Taylor,363,88,81,89,85,88,78,85,82,86,83
William,368,65,66,63,81,80,80,61,64,69,76
