Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Aaliyah,21,69,83,64,64,75,65,67,78,85,78
Adriana,5,75,68,79,78,77,63,81,72,79,73
Aidan,8,85,85,84,85,81,78,81,90,83,80
Aiden,35,85,74,84,85,77,83,71,68,85,79
Andres,23,77,85,80,82,80,77,84,86,89,81
Angel,33,85,82,67,80,69,61,79,73,81,80
Angelica,2,82,94,97,80,88,86,80,85,85,97
Aubrey,10,79,88,89,86,83,86,80,88,88,79
Autumn,31,62,78,62,74,75,68,65,63,84,77
Brayden,44,75,85,80,64,74,81,75,72,69,62
Breanna,48,85,88,82,79,80,77,76,79,85,84
Brian,9,84,76,76,90,89,83,85,89,83,76
Bryson,3,100,80,99,87,99,94,98,83,90,99
Carter,7,95,98,87,91,86,80,93,94,83,93
Cassidy,39,82,82,82,84,85,90,78,78,89,83
Chloe,26,81,79,78,85,72,81,68,62,79,70
Cody,42,98,89,81,99,87,100,85,88,80,90
Dalton,36,99,90,85,93,86,96,97,99,81,88
Damian,34,78,80,80,83,77,70,83,64,64,73
Daniel,17,90,79,90,86,86,75,77,80,84,82
Devin,38,75,82,90,85,76,86,77,85,86,81
Diego,49,85,96,86,94,90,99,86,83,82,83
Ellie,15,77,83,83,83,81,86,79,86,83,77
Emma,41,81,89,88,76,88,75,85,77,86,80
Evan,46,79,80,84,90,79,86,84,78,76,80
George,20,77,84,85,74,70,79,84,81,77,78
Henry,43,67,78,62,76,71,68,84,73,66,65
Jade,22,91,87,82,84,88,97,82,92,92,82
Jeffrey,12,70,85,72,64,73,76,81,85,79,61
Jenna,24,75,78,84,84,85,78,89,78,77,90
Jennifer,18,83,90,97,90,96,98,88,92,89,81
Jocelyn,37,82,84,75,62,62,69,62,82,67,62
Juliana,29,100,81,100,80,93,85,86,91,85,95
Katie,1,64,69,81,71,67,82,68,68,76,77
Leslie,4,78,81,82,82,90,84,81,77,87,78
Luke,45,82,61,70,72,76,67,74,76,62,74
Mark,16,68,77,68,65,76,65,84,67,64,75
Mia,40,81,70,80,79,73,60,63,82,66,71
Michelle,14,96,93,89,90,100,92,96,96,81,85
Miguel,19,92,97,85,85,93,97,86,99,91,95
Nevaeh,13,86,89,87,77,79,78,87,76,82,87
Oliver,47,76,83,76,81,61,63,85,66,81,81
Payton,50,86,75,85,79,83,86,87,86,81,86
Preston,6,83,84,83,85,75,83,81,90,79,82
Rachel,11,87,86,79,85,75,86,80,81,80,80
Reagan,27,97,88,82,90,88,88,90,89,97,91
Sean,30,63,83,80,84,70,76,78,65,70,76
Thomas,32,73,83,60,63,82,75,76,60,68,61
Tristan,28,77,88,87,77,89,77,77,83,75,75
Vanessa,25,92,92,85,91,87,91,88,100,93,91
