Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Aaron,169,83,75,80,84,88,89,78,76,89,88
Abigail,176,60,66,72,68,74,75,73,70,83,74
Adam,166,63,71,61,69,66,76,83,60,82,76
Addison,158,61,80,70,65,82,80,63,79,66,73
Andrea,198,94,91,87,97,94,82,86,82,97,99
Andrew,177,69,72,67,79,76,63,67,81,83,64
Ashley,155,89,86,76,81,87,87,77,75,87,82
Braden,152,62,80,77,62,61,83,62,79,84,71
Brittany,188,99,90,99,86,83,86,89,81,90,92
Cameron,193,64,56,51,57,65,57,68,67,60,65
Carson,171,68,74,70,69,83,63,70,61,80,71
Cassandra,182,100,89,85,93,99,89,98,80,90,99
Christina,178,52,57,69,69,50,53,63,66,53,64
Colton,175,76,75,70,64,74,78,67,73,79,60
Destiny,190,76,85,83,75,78,87,88,75,86,79
Dominic,161,83,83,80,80,81,86,78,80,85,90
Elizabeth,184,50,50,65,64,50,54,57,63,72,67
Erik,163,87,100,96,85,100,88,91,86,99,80
Erin,194,92,96,86,84,85,81,83,93,80,95
Evelyn,180,89,97,91,83,80,98,83,94,80,98
Isaac,181,79,75,88,86,90,88,79,77,87,75
Jack,199,77,83,61,80,65,69,75,85,70,81
James,164,90,75,75,75,85,84,81,88,81,89
Jasmin,185,90,80,76,87,81,88,82,89,83,80
Jesse,186,60,65,60,77,65,77,79,79,66,74
Jonah,157,73,78,84,82,72,68,78,81,81,60
Julian,187,80,100,96,80,80,95,82,100,85,87
Karina,159,100,90,98,84,83,80,95,99,92,94
Kate,167,92,100,88,93,80,88,94,99,89,84
Kaylee,196,93,95,91,80,81,100,90,84,82,93
Kelsey,162,83,86,93,90,94,81,89,96,89,96
Kiara,174,68,73,73,78,60,60,81,75,72,60
Lillian,173,85,79,77,77,86,89,89,82,76,88
Lilly,165,85,83,83,98,91,88,100,84,87,99
Luis,151,71,69,69,64,65,75,61,64,82,64
Mckenzie,170,80,80,80,82,79,78,64,82,85,81
Miranda,195,81,80,76,74,66,60,83,61,83,75
Mya,168,84,70,77,75,63,65,63,76,78,73
Omar,191,61,69,73,81,72,83,70,62,79,61
Ryan,200,87,95,86,85,88,92,97,80,95,95
Sabrina,197,80,84,85,64,83,67,63,63,61,69
Samuel,179,81,98,87,82,97,90,96,91,99,95
Sebastian,154,62,85,67,60,67,77,73,66,72,61
Sierra,183,64,53,71,71,72,55,67,54,57,57
Sofia,156,82,75,86,90,90,88,90,75,83,78
Timothy,160,64,72,65,81,74,85,79,61,78,65
Trenton,153,76,63,77,61,65,63,84,69,81,81
Tyler,192,90,84,78,84,90,86,77,85,87,87
Valeria,189,91,88,100,86,82,92,91,82,100,100
Veronica,172,76,73,76,64,62,65,66,65,73,75
